customer_state,customer_city,customers
MG,belo horizonte,2773
MG,juiz de fora,427
MG,contagem,426
MG,uberlandia,374
MG,montes claros,211
PR,curitiba,1521
PR,londrina,306
PR,maringa,271
PR,cascavel,148
PR,ponta grossa,143
RJ,rio de janeiro,6882
RJ,niteroi,849
RJ,nova iguacu,442
RJ,sao goncalo,409
RJ,duque de caxias,266
RS,porto alegre,1379
RS,caxias do sul,224
RS,canoas,210
RS,santa maria,194
RS,pelotas,186
SP,sao paulo,15540
SP,campinas,1444
SP,guarulhos,1189
SP,sao bernardo do campo,938
SP,santo andre,796
