business_segment,count,share_pct
home_decor,105,12.47
health_beauty,93,11.05
car_accessories,77,9.14
household_utilities,71,8.43
construction_tools_house_garden,69,8.19
audio_video_electronics,64,7.6
computers,34,4.04
pet,30,3.56
food_supplement,28,3.33
food_drink,26,3.09
sports_leisure,25,2.97
bags_backpacks,22,2.61
bed_bath_table,22,2.61
toys,20,2.38
fashion_accessories,19,2.26
home_office_furniture,14,1.66
phone_mobile,13,1.54
stationery,13,1.54
small_appliances,12,1.43
handcrafted,12,1.43
baby,10,1.19
music_instruments,9,1.07
books,9,1.07
watches,8,0.95
jewerly,8,0.95
home_appliances,7,0.83
gifts,5,0.59
party,5,0.59
air_conditioning,3,0.36
other,3,0.36
