id,country,Region,continent,,1990,1995,2000,2005,2010,2015,2020,2024
1,Burundi,Eastern,Africa,Africa,333110,254853,125628,192774,247321,298299,344767,387101
2,Comoros,Eastern,Africa,Africa,14079,13939,13799,13209,12618,12555,12496,12449
3,Djibouti,Eastern,Africa,Africa,122221,99774,100507,92110,102307,112351,119738,125996
4,Eritrea,Eastern,Africa,Africa,11848,12400,12952,15905,15813,15941,13934,12512
5,Ethiopia,Eastern,Africa,Africa,875325,478712,311441,170773,227078,797374,875170,1168455
6,Kenya,Eastern,Africa,Africa,298089,618745,707852,773354,954925,1126886,1050147,992536
7,Madagascar,Eastern,Africa,Africa,23917,21177,23541,26058,28905,32075,35563,38625
8,Malawi,Eastern,Africa,Africa,1127724,241624,232620,221661,217722,197328,191362,186719
9,Mauritius,Eastern,Africa,Africa,3613,7493,15543,19647,24836,28585,28893,29142
10,Mayotte,Eastern,Africa,Africa,15229,26316,45474,63176,72757,81386,111540,143528
11,Mozambique,Eastern,Africa,Africa,122332,168256,195702,268694,306471,321794,338850,353143
12,Réunion,Eastern,Africa,Africa,57210,77159,100678,115076,123029,127209,131769,135534
13,Rwanda,Eastern,Africa,Africa,160024,215735,347076,423187,426901,514647,513907,513316
14,Seychelles,Eastern,Africa,Africa,3721,5148,6574,8997,11420,12791,13050,13261
15,Somalia,Eastern,Africa,Africa,478294,19527,20097,20768,48106,40990,58590,77972
16,South,Sudan,Eastern,Africa,Africa,652365,652365,652365,652365,230732,844112,882252
17,Uganda,Eastern,Africa,Africa,560570,666211,624296,637596,515055,823181,1776038,2057759
18,United,Republic,of,Tanzania,Eastern,Africa,Africa,574025,1106043,949600,771153,309847
19,Zambia,Eastern,Africa,Africa,279463,244338,343703,252895,149962,132107,187955,249205
20,Zimbabwe,Eastern,Africa,Africa,634621,431226,410109,402226,398307,400482,416141,429108
21,Angola,Middle,Africa,Africa,33517,39813,46108,62331,336367,632178,656434,676507
22,Cameroon,Middle,Africa,Africa,265967,244791,227242,265503,291474,508346,579209,642948
23,Central,African,Republic,Middle,Africa,Africa,67234,99712,123529,96409,94685,81568
