country,continent,slope,Country Name,avg_population,slope_per_1000,block
Afghanistan,ASIA,3595.2473237356958,Afghanistan,19620184.26153846,0.18324228130637263,Neutral (≈)
Andorra,EUROPE,183.07825765965302,Andorra,51676.46153846154,3.5427785148058617,Neutral (≈)
Anguilla,Latin America and the Caribbean,97.31475329149748,,,,Neutral (≈)
Antigua and Barbuda,Latin America and the Caribbean,498.0681678356097,Antigua and Barbuda,72390.73846153847,6.880274720504967,Neutral (≈)
Aruba,Latin America and the Caribbean,1415.5529715762275,Aruba,78619.0923076923,18.005206242221213,Neutral (≈)
Bahamas,Latin America and the Caribbean,1261.433247200689,,,,Neutral (≈)
Barbados,Latin America and the Caribbean,344.4759443829211,Barbados,260832.13846153847,1.3206805971638977,Neutral (≈)
Belize,Latin America and the Caribbean,1136.0307616586686,Belize,220256.46153846153,5.157763607585665,Neutral (≈)
Bermuda,Latin America and the Caribbean,125.4499815430048,Bermuda,57401.907692307694,2.1854671140104998,Neutral (≈)
Bhutan,ASIA,1011.2068413928879,Bhutan,533416.5230769231,1.895717132195141,Neutral (≈)
Bolivia (Plurinational State of),Latin America and the Caribbean,3224.690045527255,,,,Neutral (≈)
"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,539.9018087855297,,,,Neutral (≈)
Botswana,Africa,2592.1869078380705,Botswana,1399103.0307692308,1.8527491191359071,Neutral (≈)
British Virgin Islands,Latin America and the Caribbean,478.4926787252369,British Virgin Islands,19177.33846153846,24.950942993726088,Neutral (≈)
Brunei Darussalam,ASIA,1171.5630614002707,Brunei Darussalam,272445.27692307695,4.300177542556752,Neutral (≈)
Bulgaria,EUROPE,7091.838562815307,Bulgaria,8031946.138461539,0.8829539492123261,Neutral (≈)
Burundi,Africa,3333.1346130183338,Burundi,6588691.492307693,0.5058871882087321,Neutral (≈)
Cabo Verde,Africa,231.58078011566383,Cabo Verde,393560.75384615385,0.5884244753891051,Neutral (≈)
Cayman Islands,Latin America and the Caribbean,643.6407038267504,Cayman Islands,33605.04615384615,19.153096855755535,Neutral (≈)
Channel Islands,EUROPE,838.641934293097,Channel Islands,142105.6,5.901540363596488,Neutral (≈)
"China, Macao SAR",ASIA,6997.75599852344,,,,Neutral (≈)
Cook Islands,OCEANIA,73.8786760182109,,,,Neutral (≈)
Costa Rica,Latin America and the Caribbean,6218.303925187646,Costa Rica,3290671.2615384613,1.8896764310271612,Neutral (≈)
Curaçao,Latin America and the Caribbean,714.5282392026578,,,,Neutral (≈)
Cyprus,ASIA,5113.53857511997,Cyprus,886535.8923076923,5.767999490476581,Neutral (≈)
