country,continent,slope,Country Name,avg_population,slope_per_1000,block
Angola,Africa,23304.64119601329,Angola,15398734.707692308,1.5134127341236454,Top (↑)
Argentina,Latin America and the Caribbean,11799.114064230344,Argentina,33461695.676923078,0.3526155451938924,Top (↑)
Australia,OCEANIA,130084.0131659899,Australia,17779042.63076923,7.316705171788076,Top (↑)
Austria,EUROPE,45522.49870801034,Austria,7937224.430769231,5.735317062667277,Top (↑)
Bahrain,ASIA,22323.16980435585,Bahrain,684236.8615384615,32.62491552145214,Top (↑)
Bangladesh,ASIA,51883.66703580657,Bangladesh,114394093.3076923,0.45355197576724626,Top (↑)
Belgium,EUROPE,42452.029162052415,Belgium,10264106.461538462,4.135969294660782,Top (↑)
Benin,Africa,11133.761535622001,Benin,6648023.938461538,1.6747475097387414,Top (↑)
Brazil,Latin America and the Caribbean,13293.395225790575,Brazil,149701232.58461538,0.08879950416090776,Top (↑)
Burkina Faso,Africa,11327.985726590377,Burkina Faso,11231179.923076924,1.0086193796356646,Top (↑)
Cameroon,Africa,12487.596407038267,Cameroon,13659889.476923076,0.9141799008062786,Top (↑)
Canada,Latin America and the Caribbean,140089.55186415653,Canada,28426981.876923077,4.9280487274620155,Top (↑)
Chad,Africa,28218.12058570198,Chad,8228819.676923077,3.429182032611184,Top (↑)
Chile,Latin America and the Caribbean,43925.54928017719,Chile,13899102.384615384,3.1603155415847164,Top (↑)
China,ASIA,32458.211271071737,China,1113738384.6153846,0.02914347904268449,Top (↑)
"China, Hong Kong SAR",ASIA,22004.973175833642,,,,Top (↑)
"China, Taiwan Province of China",ASIA,31040.54620401132,,,,Top (↑)
Colombia,Latin America and the Caribbean,71462.02399409376,Colombia,33855828.907692306,2.1107746080869707,Top (↑)
Congo,Africa,7641.066568229359,,,,Top (↑)
Czechia,EUROPE,11941.095853328412,Czechia,10247455.153846154,1.165274272885848,Top (↑)
Côte d'Ivoire,Africa,30884.91263688938,,,,Top (↑)
Denmark,EUROPE,17389.781469176818,Denmark,5257528.430769231,3.30759627801623,Top (↑)
Dominican Republic,Latin America and the Caribbean,12358.670235019072,Dominican Republic,7392252.169230769,1.6718409967750196,Top (↑)
Ecuador,Latin America and the Caribbean,19039.062753783684,Ecuador,11043922.430769231,1.723940282370996,Top (↑)
Egypt,Africa,24311.842500307615,,,,Top (↑)
Equatorial Guinea,Africa,8396.258274886182,Equatorial Guinea,735036.4461538461,11.422914222581028,Top (↑)
Ethiopia,Africa,13107.268118616956,Ethiopia,60678041.8,0.21601336710600566,Top (↑)
Finland,EUROPE,12435.366186784791,Finland,5029754.938461538,2.4723602519267915,Top (↑)
France,EUROPE,102527.8161683278,France,58843311.538461536,1.7423869168429265,Top (↑)
Gabon,Africa,9696.288175218408,Gabon,1204867.1538461538,8.047599392402807,Top (↑)
Germany,EUROPE,247737.4878799065,Germany,79836819.90769231,3.1030480443276884,Top (↑)
