country,continent,slope,Country Name,avg_population,slope_per_1000,block
Afghanistan,ASIA,3595.2473237356958,Afghanistan,19620184.26153846,0.18324228130637263,Neutral (≈)
Albania,EUROPE,-813.9034083917804,Albania,2667991.7538461536,-0.30506219039787674,Bottom (↓)
Algeria,Africa,-438.97169927402484,Algeria,26641746.292307694,-0.016476836557848675,Bottom (↓)
American Samoa,OCEANIA,35.44407530454042,American Samoa,42496.36923076923,0.8340494951949297,Bottom (↓)
Andorra,EUROPE,183.07825765965302,Andorra,51676.46153846154,3.5427785148058617,Neutral (≈)
Angola,Africa,23304.64119601329,Angola,15398734.707692308,1.5134127341236454,Top (↑)
Anguilla,Latin America and the Caribbean,97.31475329149748,,,,Neutral (≈)
Antigua and Barbuda,Latin America and the Caribbean,498.0681678356097,Antigua and Barbuda,72390.73846153847,6.880274720504967,Neutral (≈)
Argentina,Latin America and the Caribbean,11799.114064230344,Argentina,33461695.676923078,0.3526155451938924,Top (↑)
Armenia,ASIA,-11331.14925556786,Armenia,2948654.0153846154,-3.842820892667481,Bottom (↓)
Aruba,Latin America and the Caribbean,1415.5529715762275,Aruba,78619.0923076923,18.005206242221213,Neutral (≈)
Australia,OCEANIA,130084.0131659899,Australia,17779042.63076923,7.316705171788076,Top (↑)
Austria,EUROPE,45522.49870801034,Austria,7937224.430769231,5.735317062667277,Top (↑)
Azerbaijan,ASIA,-10177.345022763628,Azerbaijan,7292899.63076923,-1.3955142039559587,Bottom (↓)
Bahamas,Latin America and the Caribbean,1261.433247200689,,,,Neutral (≈)
Bahrain,ASIA,22323.16980435585,Bahrain,684236.8615384615,32.62491552145214,Top (↑)
Bangladesh,ASIA,51883.66703580657,Bangladesh,114394093.3076923,0.45355197576724626,Top (↑)
Barbados,Latin America and the Caribbean,344.4759443829211,Barbados,260832.13846153847,1.3206805971638977,Neutral (≈)
Belarus,EUROPE,-5091.717484926788,Belarus,9505414.338461539,-0.5356649698397985,Bottom (↓)
Belgium,EUROPE,42452.029162052415,Belgium,10264106.461538462,4.135969294660782,Top (↑)
Belize,Latin America and the Caribbean,1136.0307616586686,Belize,220256.46153846153,5.157763607585665,Neutral (≈)
Benin,Africa,11133.761535622001,Benin,6648023.938461538,1.6747475097387414,Top (↑)
Bermuda,Latin America and the Caribbean,125.4499815430048,Bermuda,57401.907692307694,2.1854671140104998,Neutral (≈)
Bhutan,ASIA,1011.2068413928879,Bhutan,533416.5230769231,1.895717132195141,Neutral (≈)
Bolivia (Plurinational State of),Latin America and the Caribbean,3224.690045527255,,,,Neutral (≈)
"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,539.9018087855297,,,,Neutral (≈)
Bosnia and Herzegovina,EUROPE,-1120.2511381813708,Bosnia and Herzegovina,3859446.0615384616,-0.2902621568792734,Bottom (↓)
Botswana,Africa,2592.1869078380705,Botswana,1399103.0307692308,1.8527491191359071,Neutral (≈)
Brazil,Latin America and the Caribbean,13293.395225790575,Brazil,149701232.58461538,0.08879950416090776,Top (↑)
British Virgin Islands,Latin America and the Caribbean,478.4926787252369,British Virgin Islands,19177.33846153846,24.950942993726088,Neutral (≈)
Brunei Darussalam,ASIA,1171.5630614002707,Brunei Darussalam,272445.27692307695,4.300177542556752,Neutral (≈)
Bulgaria,EUROPE,7091.838562815307,Bulgaria,8031946.138461539,0.8829539492123261,Neutral (≈)
Burkina Faso,Africa,11327.985726590377,Burkina Faso,11231179.923076924,1.0086193796356646,Top (↑)
Burundi,Africa,3333.1346130183338,Burundi,6588691.492307693,0.5058871882087321,Neutral (≈)
Cabo Verde,Africa,231.58078011566383,Cabo Verde,393560.75384615385,0.5884244753891051,Neutral (≈)
Cambodia,ASIA,19.44161437184693,Cambodia,10073161.153846154,0.0019300410342808522,Bottom (↓)
Cameroon,Africa,12487.596407038267,Cameroon,13659889.476923076,0.9141799008062786,Top (↑)
Canada,Latin America and the Caribbean,140089.55186415653,Canada,28426981.876923077,4.9280487274620155,Top (↑)
Cayman Islands,Latin America and the Caribbean,643.6407038267504,Cayman Islands,33605.04615384615,19.153096855755535,Neutral (≈)
Central African Republic,Africa,17.980927771625446,Central African Republic,3311546.4307692307,0.005429767677286862,Bottom (↓)
Chad,Africa,28218.12058570198,Chad,8228819.676923077,3.429182032611184,Top (↑)
Channel Islands,EUROPE,838.641934293097,Channel Islands,142105.6,5.901540363596488,Neutral (≈)
Chile,Latin America and the Caribbean,43925.54928017719,Chile,13899102.384615384,3.1603155415847164,Top (↑)
China,ASIA,32458.211271071737,China,1113738384.6153846,0.02914347904268449,Top (↑)
"China, Hong Kong SAR",ASIA,22004.973175833642,,,,Top (↑)
"China, Macao SAR",ASIA,6997.75599852344,,,,Neutral (≈)
"China, Taiwan Province of China",ASIA,31040.54620401132,,,,Top (↑)
Colombia,Latin America and the Caribbean,71462.02399409376,Colombia,33855828.907692306,2.1107746080869707,Top (↑)
Comoros,Africa,-55.79032853451458,Comoros,475936.6461538462,-0.1172221743910016,Bottom (↓)
Congo,Africa,7641.066568229359,,,,Top (↑)
Cook Islands,OCEANIA,73.8786760182109,,,,Neutral (≈)
Costa Rica,Latin America and the Caribbean,6218.303925187646,Costa Rica,3290671.2615384613,1.8896764310271612,Neutral (≈)
Croatia,EUROPE,-1053.15688445921,Croatia,4380591.923076923,-0.240414287144892,Bottom (↓)
Cuba,Latin America and the Caribbean,-945.3650793650794,Cuba,10211741.646153847,-0.09257628249155148,Bottom (↓)
Curaçao,Latin America and the Caribbean,714.5282392026578,,,,Neutral (≈)
Cyprus,ASIA,5113.53857511997,Cyprus,886535.8923076923,5.767999490476581,Neutral (≈)
Czechia,EUROPE,11941.095853328412,Czechia,10247455.153846154,1.165274272885848,Top (↑)
Côte d'Ivoire,Africa,30884.91263688938,,,,Top (↑)
Dem. People's Republic of Korea,ASIA,550.8637873754153,,,,Neutral (≈)
Democratic Republic of the Congo,Africa,-4689.645133505599,,,,Bottom (↓)
Denmark,EUROPE,17389.781469176818,Denmark,5257528.430769231,3.30759627801623,Top (↑)
Djibouti,Africa,406.85566629752674,Djibouti,582182.3692307692,0.6988457359763409,Neutral (≈)
Dominica,Latin America and the Caribbean,203.55284852959272,Dominica,68751.73846153847,2.9606938396687315,Neutral (≈)
Dominican Republic,Latin America and the Caribbean,12358.670235019072,Dominican Republic,7392252.169230769,1.6718409967750196,Top (↑)
Ecuador,Latin America and the Caribbean,19039.062753783684,Ecuador,11043922.430769231,1.723940282370996,Top (↑)
Egypt,Africa,24311.842500307615,,,,Top (↑)
El Salvador,Latin America and the Caribbean,54.62200073827981,El Salvador,5095934.446153847,0.010718740854193234,Bottom (↓)
Equatorial Guinea,Africa,8396.258274886182,Equatorial Guinea,735036.4461538461,11.422914222581028,Top (↑)
Eritrea,Africa,53.53377630121816,Eritrea,2105603.969230769,0.025424427899789444,Bottom (↓)
Estonia,EUROPE,-4914.0600467577215,Estonia,1391991.8153846154,-3.5302363077472103,Bottom (↓)
Eswatini,Africa,-756.4347237603051,Eswatini,828762.1230769231,-0.9127283966018017,Bottom (↓)
Ethiopia,Africa,13107.268118616956,Ethiopia,60678041.8,0.21601336710600566,Top (↑)
Falkland Islands (Malvinas),Latin America and the Caribbean,42.33407161314138,,,,Bottom (↓)
Faroe Islands,EUROPE,126.1556539928633,Faroe Islands,44836.63076923077,2.8136738159959576,Neutral (≈)
Fiji,OCEANIA,40.868463147532914,Fiji,738883.4461538461,0.055311109431762144,Bottom (↓)
Finland,EUROPE,12435.366186784791,Finland,5029754.938461538,2.4723602519267915,Top (↑)
France,EUROPE,102527.8161683278,France,58843311.538461536,1.7423869168429265,Top (↑)
French Guiana,Latin America and the Caribbean,1968.9254337393872,,,,Neutral (≈)
French Polynesia,OCEANIA,90.86637135474345,French Polynesia,199929.12307692308,0.45449292207310116,Neutral (≈)
Gabon,Africa,9696.288175218408,Gabon,1204867.1538461538,8.047599392402807,Top (↑)
Gambia,Africa,2861.427710102129,,,,Neutral (≈)
Georgia,ASIA,-4695.351913375169,Georgia,4144776.9384615384,-1.132835851745014,Bottom (↓)
Germany,EUROPE,247737.4878799065,Germany,79836819.90769231,3.1030480443276884,Top (↑)
Ghana,Africa,10601.900209179279,Ghana,17822085.03076923,0.5948742916934497,Top (↑)
Gibraltar,EUROPE,102.63836594069153,Gibraltar,28951.184615384616,3.5452216309708326,Neutral (≈)
Greece,EUROPE,20828.795619539807,Greece,10026719.6,2.0773290219006233,Top (↑)
Greenland,Latin America and the Caribbean,-79.48135843484681,Greenland,51865.2,-1.5324602707566308,Bottom (↓)
Grenada,Latin America and the Caribbean,74.63565891472868,Grenada,104065.95384615385,0.717195741318688,Neutral (≈)
Guadeloupe,Latin America and the Caribbean,667.2150855174111,,,,Neutral (≈)
Guam,OCEANIA,361.8191214470284,Guam,132081.76923076922,2.7393570176582744,Neutral (≈)
Guatemala,Latin America and the Caribbean,-3606.6909068536975,Guatemala,10212079.953846155,-0.3531788747399414,Bottom (↓)
Guinea,Africa,-16106.454534268487,Guinea,7594081.861538461,-2.1209219004923305,Bottom (↓)
Guinea-Bissau,Africa,-108.34231573766458,Guinea-Bissau,1142294.6615384615,-0.09484620683751366,Bottom (↓)
Guyana,Latin America and the Caribbean,1124.763381321521,Guyana,742883.7384615385,1.5140503460889172,Neutral (≈)
Haiti,Latin America and the Caribbean,24.469176818014027,Haiti,7397322.63076923,0.003307842315303954,Bottom (↓)
Holy See,EUROPE,-6.98535745047373,,,,Bottom (↓)
Honduras,Latin America and the Caribbean,-5219.243755383291,Honduras,5727905.215384616,-0.9111959013157013,Bottom (↓)
Hungary,EUROPE,10364.693490833026,Hungary,10210629.661538461,1.0150885728306154,Top (↑)
Iceland,EUROPE,2320.131290759198,Iceland,266652.72307692305,8.70094729949521,Neutral (≈)
India,ASIA,-73316.57954964932,India,920345540.0,-0.07966201427960341,Bottom (↓)
Indonesia,ASIA,7579.6132644272175,Indonesia,188075468.04615384,0.040300914006324184,Top (↑)
Iran (Islamic Republic of),ASIA,-7990.76202780854,,,,Bottom (↓)
Iraq,ASIA,7921.418727697797,Iraq,21756702.90769231,0.3640909544661336,Top (↑)
Ireland,EUROPE,28603.811984742217,Ireland,3789890.6,7.547397802127116,Top (↑)
Isle of Man,EUROPE,255.12070874861573,Isle of Man,69513.86153846154,3.6700695818410143,Neutral (≈)
Israel,ASIA,12958.373323489603,Israel,5467857.230769231,2.3699180093015317,Top (↑)
Italy,EUROPE,166667.80078749848,Italy,56636893.52307692,2.9427426262280614,Top (↑)
Jamaica,Latin America and the Caribbean,56.79414298018949,Jamaica,2368818.2769230767,0.023975728122952924,Neutral (≈)
Japan,ASIA,70810.39153439153,Japan,118596347.73846154,0.5970705918410611,Top (↑)
Jordan,ASIA,134059.58545588778,Jordan,4780537.723076923,28.042783724673196,Top (↑)
Kazakhstan,ASIA,-22539.844592100406,Kazakhstan,15551240.538461538,-1.4493920620901308,Bottom (↓)
Kenya,Africa,20637.195275009228,Kenya,27195502.56923077,0.7588458872004201,Top (↑)
Kiribati,OCEANIA,35.761535622000736,Kiribati,82806.15384615384,0.43187050673120686,Bottom (↓)
Kuwait,ASIA,75753.23514211887,Kuwait,2074630.353846154,36.51408792013481,Top (↑)
Kyrgyzstan,ASIA,-12729.283868586193,,,,Bottom (↓)
Lao People's Democratic Republic,ASIA,989.8600959763751,,,,Neutral (≈)
Latvia,EUROPE,-12221.014888642796,Latvia,2302813.553846154,-5.306992773353834,Bottom (↓)
Lebanon,ASIA,39876.36483327181,Lebanon,3875054.9076923076,10.290528981696205,Top (↑)
Lesotho,Africa,193.09634551495017,Lesotho,1658573.0307692308,0.11642317940343808,Neutral (≈)
Liberia,Africa,-2095.352036421804,Liberia,2780308.323076923,-0.7536401696999242,Bottom (↓)
Libya,Africa,12939.709856035437,Libya,4467071.061538462,2.8966877127714628,Top (↑)
Liechtenstein,EUROPE,505.4993232435093,Liechtenstein,29407.138461538463,17.18968079484003,Neutral (≈)
Lithuania,EUROPE,-5224.734342315738,Lithuania,3244637.2153846156,-1.610267649505587,Bottom (↓)
Luxembourg,EUROPE,6779.441122185308,Luxembourg,432235.90769230766,15.684585666148159,Neutral (≈)
Madagascar,Africa,490.65596160945,Madagascar,14915972.276923077,0.032894668379650834,Neutral (≈)
Malawi,Africa,-16960.77174849268,Malawi,10322015.169230768,-1.6431647764916677,Bottom (↓)
Malaysia,ASIA,92490.79832656577,Malaysia,19906263.723076925,4.646316336065771,Top (↑)
Maldives,ASIA,2047.5075673680326,Maldives,258199.44615384616,7.929945620983404,Neutral (≈)
Mali,Africa,12124.062753783684,Mali,11430488.984615386,1.060677523953857,Top (↑)
Malta,EUROPE,4483.2934662236985,Malta,376676.07692307694,11.902251671637899,Neutral (≈)
Marshall Islands,OCEANIA,70.55666297526763,Marshall Islands,38267.64615384615,1.8437680408042607,Neutral (≈)
Martinique,Latin America and the Caribbean,883.3042943275501,,,,Neutral (≈)
Mauritania,Africa,3388.3238587424635,Mauritania,2371949.7384615387,1.428497325976288,Neutral (≈)
Mauritius,Africa,802.8763381321521,Mauritius,1056922.3230769231,0.7596360873472804,Neutral (≈)
Mayotte,Africa,3475.056232312046,,,,Neutral (≈)
Mexico,Latin America and the Caribbean,32448.218776916452,Mexico,85354255.96923077,0.3801593536075537,Top (↑)
Micronesia (Fed. States of),OCEANIA,-22.657315122431402,,,,Bottom (↓)
Monaco,EUROPE,211.06582994955087,Monaco,30143.6,7.002011370557959,Neutral (≈)
Mongolia,ASIA,533.9651778023871,Mongolia,2147659.3846153845,0.248626566031565,Neutral (≈)
Montenegro,EUROPE,265.6875845945613,Montenegro,585638.0307692308,0.45367201348857555,Neutral (≈)
Montserrat,Latin America and the Caribbean,-12.207825765965302,,,,Bottom (↓)
Morocco,Africa,1898.5971453180755,Morocco,24820281.10769231,0.07649378091570694,Neutral (≈)
Mozambique,Africa,7006.779623477298,Mozambique,16502169.953846155,0.42459747070076864,Neutral (≈)
Myanmar,ASIA,-1582.8732619662853,Myanmar,39600620.353846155,-0.0399709208548434,Bottom (↓)
Namibia,Africa,-414.3722160698905,Namibia,1530430.5076923077,-0.27075532929274293,Bottom (↓)
Nauru,OCEANIA,-17.375292235757353,Nauru,8914.015384615384,-1.9492104832739245,Bottom (↓)
Nepal,ASIA,-3475.0364218038635,Nepal,20402621.015384614,-0.17032303933810805,Bottom (↓)
Netherlands,EUROPE,45491.181247692875,Netherlands,15034599.446153846,3.0257660944422726,Top (↑)
New Caledonia,OCEANIA,1173.651408883967,New Caledonia,191415.83076923076,6.131422903568048,Neutral (≈)
New Zealand,OCEANIA,28467.887658422544,New Zealand,3651301.5384615385,7.796641104151966,Top (↑)
