country,continent,slope,block_x,block_y,block
Russian Federation,EUROPE,-143708.6687584609,Top (↑),Top (↑),Bottom (↓)
Russian Federation,EUROPE,-143708.6687584609,Top (↑),Neutral (≈),Bottom (↓)
Russian Federation,EUROPE,-143708.6687584609,Top (↑),Bottom (↓),Bottom (↓)
Russian Federation,EUROPE,-143708.6687584609,Neutral (≈),Top (↑),Bottom (↓)
Russian Federation,EUROPE,-143708.6687584609,Neutral (≈),Neutral (≈),Bottom (↓)
Russian Federation,EUROPE,-143708.6687584609,Neutral (≈),Bottom (↓),Bottom (↓)
Russian Federation,EUROPE,-143708.6687584609,Bottom (↓),Top (↑),Bottom (↓)
Russian Federation,EUROPE,-143708.6687584609,Bottom (↓),Neutral (≈),Bottom (↓)
Russian Federation,EUROPE,-143708.6687584609,Bottom (↓),Bottom (↓),Bottom (↓)
India,ASIA,-73316.57954965008,Top (↑),Bottom (↓),Bottom (↓)
India,ASIA,-73316.57954965008,Neutral (≈),Top (↑),Bottom (↓)
India,ASIA,-73316.57954965008,Top (↑),Neutral (≈),Bottom (↓)
India,ASIA,-73316.57954965008,Bottom (↓),Bottom (↓),Bottom (↓)
India,ASIA,-73316.57954965008,Bottom (↓),Neutral (≈),Bottom (↓)
India,ASIA,-73316.57954965008,Bottom (↓),Top (↑),Bottom (↓)
India,ASIA,-73316.57954965008,Neutral (≈),Bottom (↓),Bottom (↓)
India,ASIA,-73316.57954965008,Neutral (≈),Neutral (≈),Bottom (↓)
India,ASIA,-73316.57954965008,Top (↑),Top (↑),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Neutral (≈),Bottom (↓),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Top (↑),Neutral (≈),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Bottom (↓),Top (↑),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Bottom (↓),Neutral (≈),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Bottom (↓),Bottom (↓),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Neutral (≈),Top (↑),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Top (↑),Bottom (↓),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Neutral (≈),Neutral (≈),Bottom (↓)
Ukraine,EUROPE,-50688.119601329396,Top (↑),Top (↑),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Neutral (≈),Neutral (≈),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Bottom (↓),Bottom (↓),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Bottom (↓),Neutral (≈),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Top (↑),Top (↑),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Top (↑),Neutral (≈),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Top (↑),Bottom (↓),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Neutral (≈),Top (↑),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Neutral (≈),Bottom (↓),Bottom (↓)
Pakistan,ASIA,-43090.83831672247,Bottom (↓),Top (↑),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Top (↑),Top (↑),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Top (↑),Neutral (≈),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Top (↑),Bottom (↓),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Neutral (≈),Top (↑),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Neutral (≈),Bottom (↓),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Bottom (↓),Top (↑),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Bottom (↓),Bottom (↓),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Neutral (≈),Neutral (≈),Bottom (↓)
Kazakhstan,ASIA,-22539.84459210041,Bottom (↓),Neutral (≈),Bottom (↓)
Serbia,EUROPE,-20757.546204011644,Bottom (↓),Top (↑),Bottom (↓)
Serbia,EUROPE,-20757.546204011644,Top (↑),Bottom (↓),Bottom (↓)
Serbia,EUROPE,-20757.546204011644,Neutral (≈),Top (↑),Bottom (↓)
Serbia,EUROPE,-20757.546204011644,Neutral (≈),Neutral (≈),Bottom (↓)
Serbia,EUROPE,-20757.546204011644,Bottom (↓),Bottom (↓),Bottom (↓)
