country,continent,slope,block_x,block_y,block
Russian Federation,EUROPE,-143708.6687584609,Top (↑),Top (↑),Neutral (≈)
Russian Federation,EUROPE,-143708.6687584609,Top (↑),Neutral (≈),Neutral (≈)
Russian Federation,EUROPE,-143708.6687584609,Top (↑),Bottom (↓),Neutral (≈)
Russian Federation,EUROPE,-143708.6687584609,Neutral (≈),Top (↑),Neutral (≈)
Russian Federation,EUROPE,-143708.6687584609,Neutral (≈),Neutral (≈),Neutral (≈)
Russian Federation,EUROPE,-143708.6687584609,Neutral (≈),Bottom (↓),Neutral (≈)
Russian Federation,EUROPE,-143708.6687584609,Bottom (↓),Top (↑),Neutral (≈)
Russian Federation,EUROPE,-143708.6687584609,Bottom (↓),Neutral (≈),Neutral (≈)
Russian Federation,EUROPE,-143708.6687584609,Bottom (↓),Bottom (↓),Neutral (≈)
India,ASIA,-73316.57954965008,Top (↑),Bottom (↓),Neutral (≈)
India,ASIA,-73316.57954965008,Neutral (≈),Top (↑),Neutral (≈)
India,ASIA,-73316.57954965008,Top (↑),Neutral (≈),Neutral (≈)
India,ASIA,-73316.57954965008,Bottom (↓),Bottom (↓),Neutral (≈)
India,ASIA,-73316.57954965008,Bottom (↓),Neutral (≈),Neutral (≈)
India,ASIA,-73316.57954965008,Bottom (↓),Top (↑),Neutral (≈)
India,ASIA,-73316.57954965008,Neutral (≈),Bottom (↓),Neutral (≈)
India,ASIA,-73316.57954965008,Neutral (≈),Neutral (≈),Neutral (≈)
India,ASIA,-73316.57954965008,Top (↑),Top (↑),Neutral (≈)
Ukraine,EUROPE,-50688.119601329396,Neutral (≈),Bottom (↓),Neutral (≈)
Ukraine,EUROPE,-50688.119601329396,Top (↑),Neutral (≈),Neutral (≈)
Ukraine,EUROPE,-50688.119601329396,Bottom (↓),Top (↑),Neutral (≈)
Ukraine,EUROPE,-50688.119601329396,Bottom (↓),Neutral (≈),Neutral (≈)
Ukraine,EUROPE,-50688.119601329396,Bottom (↓),Bottom (↓),Neutral (≈)
Ukraine,EUROPE,-50688.119601329396,Neutral (≈),Top (↑),Neutral (≈)
Ukraine,EUROPE,-50688.119601329396,Top (↑),Bottom (↓),Neutral (≈)
Ukraine,EUROPE,-50688.119601329396,Neutral (≈),Neutral (≈),Neutral (≈)
