country,continent,slope,block_x,block_y,block
United States of America,Latin America and the Caribbean,867214.578811377,Bottom (↓),Neutral (≈),Top (↑)
United States of America,Latin America and the Caribbean,867214.578811377,Bottom (↓),Top (↑),Top (↑)
United States of America,Latin America and the Caribbean,867214.578811377,Neutral (≈),Bottom (↓),Top (↑)
United States of America,Latin America and the Caribbean,867214.578811377,Neutral (≈),Neutral (≈),Top (↑)
United States of America,Latin America and the Caribbean,867214.578811377,Neutral (≈),Top (↑),Top (↑)
United States of America,Latin America and the Caribbean,867214.578811377,Top (↑),Bottom (↓),Top (↑)
United States of America,Latin America and the Caribbean,867214.578811377,Top (↑),Neutral (≈),Top (↑)
United States of America,Latin America and the Caribbean,867214.578811377,Bottom (↓),Bottom (↓),Top (↑)
United States of America,Latin America and the Caribbean,867214.578811377,Top (↑),Top (↑),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Neutral (≈),Bottom (↓),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Bottom (↓),Neutral (≈),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Bottom (↓),Bottom (↓),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Bottom (↓),Top (↑),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Neutral (≈),Top (↑),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Neutral (≈),Neutral (≈),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Top (↑),Bottom (↓),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Top (↑),Neutral (≈),Top (↑)
Saudi Arabia,ASIA,319881.90808416693,Top (↑),Top (↑),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Bottom (↓),Top (↑),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Top (↑),Bottom (↓),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Neutral (≈),Top (↑),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Neutral (≈),Neutral (≈),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Neutral (≈),Bottom (↓),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Top (↑),Neutral (≈),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Bottom (↓),Neutral (≈),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Bottom (↓),Bottom (↓),Top (↑)
United Kingdom,EUROPE,250634.22837455643,Top (↑),Top (↑),Top (↑)
Germany,EUROPE,247737.4878799085,Top (↑),Neutral (≈),Top (↑)
Germany,EUROPE,247737.4878799085,Top (↑),Bottom (↓),Top (↑)
Germany,EUROPE,247737.4878799085,Neutral (≈),Top (↑),Top (↑)
Germany,EUROPE,247737.4878799085,Neutral (≈),Neutral (≈),Top (↑)
Germany,EUROPE,247737.4878799085,Neutral (≈),Bottom (↓),Top (↑)
Germany,EUROPE,247737.4878799085,Bottom (↓),Top (↑),Top (↑)
Germany,EUROPE,247737.4878799085,Bottom (↓),Bottom (↓),Top (↑)
Germany,EUROPE,247737.4878799085,Top (↑),Top (↑),Top (↑)
Germany,EUROPE,247737.4878799085,Bottom (↓),Neutral (≈),Top (↑)
Spain,EUROPE,240282.26651901338,Bottom (↓),Top (↑),Top (↑)
Spain,EUROPE,240282.26651901338,Bottom (↓),Neutral (≈),Top (↑)
Spain,EUROPE,240282.26651901338,Neutral (≈),Top (↑),Top (↑)
Spain,EUROPE,240282.26651901338,Top (↑),Bottom (↓),Top (↑)
Spain,EUROPE,240282.26651901338,Top (↑),Neutral (≈),Top (↑)
Spain,EUROPE,240282.26651901338,Bottom (↓),Bottom (↓),Top (↑)
Spain,EUROPE,240282.26651901338,Neutral (≈),Bottom (↓),Top (↑)
Spain,EUROPE,240282.26651901338,Top (↑),Top (↑),Top (↑)
Spain,EUROPE,240282.26651901338,Neutral (≈),Neutral (≈),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Neutral (≈),Neutral (≈),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Bottom (↓),Neutral (≈),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Bottom (↓),Bottom (↓),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Top (↑),Top (↑),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Top (↑),Neutral (≈),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Top (↑),Bottom (↓),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Neutral (≈),Top (↑),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Bottom (↓),Top (↑),Top (↑)
United Arab Emirates,ASIA,219423.86846314959,Neutral (≈),Bottom (↓),Top (↑)
Türkiye,ASIA,182392.7824535516,Top (↑),Top (↑),Top (↑)
Türkiye,ASIA,182392.7824535516,Bottom (↓),Neutral (≈),Top (↑)
Türkiye,ASIA,182392.7824535516,Bottom (↓),Bottom (↓),Top (↑)
Türkiye,ASIA,182392.7824535516,Top (↑),Neutral (≈),Top (↑)
Türkiye,ASIA,182392.7824535516,Top (↑),Bottom (↓),Top (↑)
Türkiye,ASIA,182392.7824535516,Neutral (≈),Top (↑),Top (↑)
Türkiye,ASIA,182392.7824535516,Neutral (≈),Neutral (≈),Top (↑)
Türkiye,ASIA,182392.7824535516,Bottom (↓),Top (↑),Top (↑)
